Region,Date,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),Unemployment rate (%),Economic inactivity rate (%),All aged 16 to 64,Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Economic inactivity rate (%) (16 to 64),Treated
North East,Apr-Jun 1994,2016539,1174693.049,1025802.652,148890.3965,841845.951,58.25292985,50.86946756,12.67483422,41.74707015,1628146,1163907.314,1015523.566,148383.7487,464238.6858,71.4866673,62.37300374,12.74875988,28.5133327,0
North East,May-Jul 1994,2015955,1167964.365,1021976.5,145987.8654,847990.6346,57.93603356,50.69441034,12.49934242,42.06396644,1627482,1158847.81,1012758.87,146088.9403,468634.1895,71.20495406,62.22857581,12.60639568,28.79504594,0
North East,Jun-Aug 1994,2015839,1169475.57,1030739.409,138736.1614,846363.4296,58.014334,51.13203034,11.86310898,41.985666,1627257,1161058.332,1022285.827,138772.5049,466198.6684,71.35064293,62.82264121,11.95224229,28.64935707,0
North East,Jul-Sep 1994,2015743,1161431.948,1024363.576,137068.3726,854311.0518,57.61805688,50.8181636,11.80167059,42.38194312,1626974,1151408.766,1014116.551,137292.2149,475565.2342,70.76995489,62.33145403,11.9238466,29.23004511,0
North East,Aug-Oct 1994,2015519,1159249.023,1021991.104,137257.9189,856269.9772,57.51615454,50.7061012,11.84024452,42.48384546,1626601,1148287.255,1011429.015,136858.2395,478313.7454,70.5942794,62.18052338,11.91846717,29.4057206,0
North East,Sep-Nov 1994,2015287,1168210.389,1024492.865,143717.5239,847076.6113,57.96744527,50.83607768,12.30236653,42.03255473,1626240,1155592.155,1012577.002,143015.153,470647.8453,71.05913977,62.26491795,12.37591935,28.94086023,0
North East,Oct-Dec 1994,2015138,1168522.095,1017444.233,151077.8625,846615.9049,57.98719964,50.49005242,12.92896927,42.01280036,1625959,1154823.011,1004508.089,150314.9219,471135.9889,71.0241163,61.77942305,13.01627353,28.9758837,0
North East,Nov-Jan 1995,2014966,1168790.911,1018699.891,150091.0193,846175.0893,58.00549045,50.55667894,12.84156284,41.99450955,1625619,1155482.538,1005961.83,149520.7082,470136.4622,71.07954187,61.88177116,12.94010972,28.92045813,0
North East,Dec-Feb 1995,2014772,1163472.101,1022871.214,140600.8866,851299.8991,57.74708507,50.76858395,12.08459459,42.25291493,1625317,1151218.85,1010773.523,140445.3269,474098.1499,70.83041955,62.18931588,12.19970702,29.16958045,0
North East,Jan-Mar 1995,2014377,1158868.4,1023512.869,135355.5307,855508.6001,57.52986655,50.81039295,11.67997425,42.47013345,1624813,1148796.73,1013412.214,135384.5159,476016.27,70.70331971,62.37100603,11.78489739,29.29668029,0
North East,Feb-Apr 1995,2014419,1160486.049,1025627.407,134858.642,853932.9508,57.60897058,50.91430368,11.62087576,42.39102942,1624634,1150171.085,1015423.627,134747.4579,474462.9149,70.79570446,62.50168513,11.71542736,29.20429554,0
North East,Mar-May 1995,2014263,1165015.45,1031608.966,133406.4837,849247.5501,57.83829867,51.21520706,11.45104845,42.16170133,1624376,1154092.382,1020612.415,133479.967,470283.6185,71.0483522,62.83104494,11.5657957,28.9516478,0
North East,Apr-Jun 1995,2014128,1169854.404,1034992.469,134861.9354,844273.5956,58.08242596,51.38662831,11.52809571,41.91757404,1624095,1157646.439,1022871.281,134775.1579,466448.5606,71.27947807,62.98100059,11.64216926,28.72052193,0
North East,May-Jul 1995,2013962,1174097.162,1041829.887,132267.2748,839864.838,58.2978806,51.73036468,11.26544541,41.7021194,1623771,1160772.345,1028816.58,131955.7647,462998.6548,71.48620989,63.359709,11.36792802,28.51379011,0
North East,Jun-Aug 1995,2013706,1173379.328,1039137.746,134241.582,840326.6724,58.26964451,51.60325021,11.44059545,41.73035549,1623343,1161672.339,1027780.096,133892.243,461670.6608,71.56049825,63.31256525,11.5258183,28.43950175,0
North East,Jul-Sep 1995,2013702,1178420.746,1046480.218,131940.5276,835281.2541,58.52011598,51.96797829,11.19638534,41.47988402,1623127,1166003.352,1034146.883,131856.4691,457123.6483,71.83685267,63.71324503,11.30841253,28.16314733,0
North East,Aug-Oct 1995,2013812,1182686.118,1049628.895,133057.2234,831125.8817,58.72872534,52.12149371,11.25042574,41.27127466,1623003,1169899.759,1036959.612,132940.1471,453103.2407,72.08241509,63.89141685,11.3633793,27.91758491,0
North East,Sep-Nov 1995,2013565,1177439.924,1040778.719,136661.2051,836125.0762,58.47538688,51.68835963,11.60663932,41.52461312,1622673,1165705.704,1029304.818,136400.8858,456967.2961,71.83860851,63.43267055,11.70114252,28.16139149,0
North East,Oct-Dec 1995,2013481,1185617.122,1054002.998,131614.1241,827863.8776,58.88394886,52.34730292,11.10089603,41.11605114,1622381,1173329.759,1042000.604,131329.1553,449051.241,72.3214682,64.22662764,11.19285983,27.6785318,0
North East,Nov-Jan 1996,2013402,1184475.391,1054116.687,130358.7045,828926.6086,58.82955274,52.35500347,11.00560682,41.17044726,1622134,1173396.261,1043359.442,130036.8186,448737.7393,72.33658013,64.3201759,11.08208906,27.66341987,0
