Region,Year,Total economically active,Total in employment,Unemployed,Employment rate (%),Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Treated
North East,1994,1176547.972,1027827.264,148720.7082,50.95498472,1166043.584,1017548.078,148495.5067,462809.4157,71.58679048,62.47022154,12.73498767,0
North East,1994,1174693.049,1025802.652,148890.3965,50.86946756,1163907.314,1015523.566,148383.7487,464238.6858,71.4866673,62.37300374,12.74875988,0
North East,1994,1167964.365,1021976.5,145987.8654,50.69441034,1158847.81,1012758.87,146088.9403,468634.1895,71.20495406,62.22857581,12.60639568,0
North East,1994,1169475.57,1030739.409,138736.1614,51.13203034,1161058.332,1022285.827,138772.5049,466198.6684,71.35064293,62.82264121,11.95224229,0
North East,1994,1161431.948,1024363.576,137068.3726,50.8181636,1151408.766,1014116.551,137292.2149,475565.2342,70.76995489,62.33145403,11.9238466,0
North East,1994,1159249.023,1021991.104,137257.9189,50.7061012,1148287.255,1011429.015,136858.2395,478313.7454,70.5942794,62.18052338,11.91846717,0
North East,1994,1168210.389,1024492.865,143717.5239,50.83607768,1155592.155,1012577.002,143015.153,470647.8453,71.05913977,62.26491795,12.37591935,0
North East,1994,1168522.095,1017444.233,151077.8625,50.49005242,1154823.011,1004508.089,150314.9219,471135.9889,71.0241163,61.77942305,13.01627353,0
North East,1995,1168790.911,1018699.891,150091.0193,50.55667894,1155482.538,1005961.83,149520.7082,470136.4622,71.07954187,61.88177116,12.94010972,0
North East,1995,1163472.101,1022871.214,140600.8866,50.76858395,1151218.85,1010773.523,140445.3269,474098.1499,70.83041955,62.18931588,12.19970702,0
North East,1995,1158868.4,1023512.869,135355.5307,50.81039295,1148796.73,1013412.214,135384.5159,476016.27,70.70331971,62.37100603,11.78489739,0
North East,1995,1160486.049,1025627.407,134858.642,50.91430368,1150171.085,1015423.627,134747.4579,474462.9149,70.79570446,62.50168513,11.71542736,0
North East,1995,1165015.45,1031608.966,133406.4837,51.21520706,1154092.382,1020612.415,133479.967,470283.6185,71.0483522,62.83104494,11.5657957,0
North East,1995,1169854.404,1034992.469,134861.9354,51.38662831,1157646.439,1022871.281,134775.1579,466448.5606,71.27947807,62.98100059,11.64216926,0
North East,1995,1174097.162,1041829.887,132267.2748,51.73036468,1160772.345,1028816.58,131955.7647,462998.6548,71.48620989,63.359709,11.36792802,0
North East,1995,1173379.328,1039137.746,134241.582,51.60325021,1161672.339,1027780.096,133892.243,461670.6608,71.56049825,63.31256525,11.5258183,0
North East,1995,1178420.746,1046480.218,131940.5276,51.96797829,1166003.352,1034146.883,131856.4691,457123.6483,71.83685267,63.71324503,11.30841253,0
North East,1995,1182686.118,1049628.895,133057.2234,52.12149371,1169899.759,1036959.612,132940.1471,453103.2407,72.08241509,63.89141685,11.3633793,0
North East,1995,1177439.924,1040778.719,136661.2051,51.68835963,1165705.704,1029304.818,136400.8858,456967.2961,71.83860851,63.43267055,11.70114252,0
North East,1995,1185617.122,1054002.998,131614.1241,52.34730292,1173329.759,1042000.604,131329.1553,449051.241,72.3214682,64.22662764,11.19285983,0
North East,1996,1184475.391,1054116.687,130358.7045,52.35500347,1173396.261,1043359.442,130036.8186,448737.7393,72.33658013,64.3201759,11.08208906,0
North East,1996,1183509.724,1052156.96,131352.7644,52.261485,1172918.341,1041678.715,131239.6259,448869.6592,72.32254406,64.23026407,11.18915284,0
North East,1996,1183169.075,1055455.483,127713.5926,52.42363274,1173911.995,1046176.216,127735.779,447759.005,72.38903544,64.51223559,10.8812057,0
North East,1996,1181337.369,1055946.655,125390.7138,52.45008696,1170715.225,1045438.394,125276.8312,450638.7752,72.20602193,64.47934218,10.70087999,0
North East,1996,1179790.483,1052134.47,127656.013,52.26187353,1169672.305,1041980.274,127692.0309,451468.6948,72.15117656,64.27450014,10.91690641,0
North East,1996,1177754.846,1055418.974,122335.8722,52.42739199,1165753.85,1043432.517,122321.3336,455120.1497,71.92131223,64.37468407,10.49289553,0
North East,1996,1181563.329,1056366.932,125196.397,52.47588895,1168518.185,1043268.9,125249.2852,452091.8153,72.10360202,64.37507479,10.71864237,0
North East,1996,1179599.24,1055566.136,124033.1042,52.44337716,1168671.966,1044653.428,124018.5378,451573.034,72.12933637,64.47502866,10.61192032,0
North East,1996,1177399.555,1049064.696,128334.8599,52.12653174,1166131.078,1037453.001,128678.0765,453731.9222,71.98948786,64.04572494,11.03461514,0
North East,1996,1175968.395,1049779.13,126189.2646,52.16791515,1164317.48,1038308.278,126009.2026,455237.5198,71.89119728,64.11071421,10.82258102,0
North East,1996,1174198.391,1059364.283,114834.1082,52.65661862,1162909.176,1048479.928,114429.2484,456103.8238,71.8282791,64.7604391,9.83991276,0
North East,1996,1171507.291,1057992.793,113514.4986,52.59346676,1160658.524,1047540.49,113118.0338,458037.4764,71.70330461,64.71508485,9.746021893,0
North East,1997,1165154.576,1053634.419,111520.157,52.38644476,1154374.265,1043186.908,111187.3564,463857.7352,71.33552326,64.46460757,9.631829104,0
North East,1997,1174553.148,1061422.211,113130.9372,52.77903139,1163409.345,1051008.148,112401.1972,454521.655,71.90722874,64.96001052,9.661362761,0
North East,1997,1174950.495,1059983.332,114967.1629,52.71385287,1165228.921,1050941.284,114287.6373,452365.0788,72.03469605,64.96941036,9.808170332,0
North East,1997,1178428.783,1059618.311,118810.4717,52.70319607,1167055.296,1048986.968,118068.3279,450105.7039,72.16692068,64.86595757,10.11677239,0
North East,1997,1177726.186,1063394.06,114332.1265,52.89928186,1167095.189,1053059.673,114035.5155,449674.811,72.18684098,65.13354858,9.770883865,0
North East,1997,1176936.248,1060266.972,116669.2762,52.75004675,1166320.43,1049963.535,116356.8944,450087.5704,72.15507654,64.95659111,9.976408834,0
North East,1997,1173713.396,1059991.163,113722.2332,52.74716296,1162701.525,1049277.61,113423.9157,453202.4746,71.95362629,64.93440265,9.755204857,0
North East,1997,1167628.381,1057146.994,110481.3865,52.60809257,1157698.459,1047300.692,110397.7675,458024.5405,71.65203809,64.81932188,9.535969109,0
North East,1997,1168193.75,1064706.717,103487.0336,52.99088887,1159519.35,1055653.887,103865.4637,455877.6496,71.779219,65.3495015,8.957630905,0
North East,1997,1164800.161,1063206.242,101593.9186,52.9190278,1155531.302,1054143.579,101387.7224,459724.6982,71.53858595,65.26170337,8.77412167,0
North East,1997,1160032.619,1059355.344,100677.275,52.72693689,1151658.923,1051032.282,100626.6418,463423.0766,71.30652954,65.07609407,8.737538497,0
North East,1997,1158712.009,1062328.359,96383.65064,52.88270282,1150166.117,1053871.0,96295.11683,464605.8829,71.22777192,65.26438409,8.372279047,0
North East,1998,1156338.489,1063532.221,92806.268,52.94202492,1147337.131,1055267.026,92070.10507,467363.8694,71.05570199,65.35371103,8.024677543,0
North East,1998,1158785.212,1059118.022,99667.19004,52.72908695,1149753.489,1050866.154,98887.33493,464636.511,71.21906659,65.09369818,8.600742322,0
North East,1998,1157977.192,1060124.406,97852.78606,52.77693092,1146945.847,1049873.991,97071.85612,467403.153,71.04695744,65.03389236,8.463508227,0
North East,1998,1157595.154,1061177.156,96417.99829,52.83670586,1145526.727,1049540.252,95986.47489,468456.2734,70.97514203,65.02796198,8.379243597,0
North East,1998,1149435.277,1057731.535,91703.74161,52.66640487,1137603.09,1046289.877,91313.21273,476314.9104,70.48704393,64.82918444,8.02680773,0
North East,1998,1146763.327,1050296.461,96466.86652,52.30633,1134695.473,1038585.171,96110.30178,478703.5271,70.32950144,64.37249379,8.470140586,0
North East,1998,1142950.102,1043179.554,99770.54771,51.95564928,1131079.704,1031646.87,99432.83391,482139.296,70.11321488,63.9495859,8.79096615,0
North East,1998,1136025.569,1039078.506,96947.06278,51.76163085,1123621.613,1027213.113,96408.49946,489101.3871,69.67232519,63.69433024,8.580157088,0
North East,1998,1139404.158,1043101.978,96302.17937,51.96617588,1125602.851,1029347.846,96255.00558,486921.1487,69.80378905,63.83457522,8.551418065,0
North East,1998,1141143.637,1041669.732,99473.90551,51.90408015,1124930.451,1025635.959,99294.49252,487200.5487,69.77909681,63.61988937,8.82672279,0
North East,1998,1150980.08,1048566.046,102414.0339,52.25614442,1137831.64,1035481.219,102350.4204,473905.3605,70.59660723,64.24628951,8.995216588,0
North East,1998,1151292.025,1042808.576,108483.449,51.97804939,1137789.351,1029443.199,108346.1518,473575.6492,70.61028077,63.8864068,9.522514143,0
North East,1999,1152348.648,1042210.501,110138.1474,51.95362508,1138953.737,1028735.645,110218.0913,472092.2632,70.69653733,63.85513793,9.677135051,0
North East,1999,1148651.974,1037125.534,111526.4394,51.7073853,1134931.016,1023372.406,111558.6107,475756.9837,70.46249903,63.53635252,9.829549908,0
North East,1999,1146674.334,1036641.817,110032.5172,51.69790892,1131674.588,1021640.016,110034.5721,478440.412,70.2853267,63.45136937,9.723163643,0
North East,1999,1144044.331,1029886.92,114157.411,51.36749397,1129339.615,1015600.24,113739.374,480399.3855,70.1566909,63.09098807,10.07131713,0
North East,1999,1144381.993,1030551.337,113830.6558,51.40947927,1130381.428,1017024.212,113357.2157,478998.5719,70.23707441,63.19354114,10.02822701,0
North East,1999,1146212.677,1034844.77,111367.9072,51.63414242,1134255.978,1023822.797,110433.1811,474648.0219,70.49867351,63.63479717,9.736178009,0
North East,1999,1150190.627,1042791.267,107399.3601,52.03525869,1138404.575,1031458.107,106946.4676,470285.4254,70.76593841,64.11789139,9.394416539,0
North East,1999,1155446.008,1045346.932,110099.0756,52.16554555,1143680.326,1034735.418,108944.9078,464784.6737,71.10383666,64.3306145,9.525818127,0
North East,1999,1162415.936,1048256.025,114159.9111,52.31100403,1151069.377,1038245.278,112824.0985,457298.6231,71.56753783,64.55271918,9.801676665,0
North East,1999,1149255.212,1042387.114,106868.0981,52.02420344,1137040.777,1031804.988,105235.7891,470985.2233,70.71034776,64.16593933,9.255234401,0
North East,1999,1155589.143,1054405.914,101183.2282,52.62872174,1146136.759,1046284.694,99852.06532,461614.241,71.28820066,65.07753338,8.712055043,0
North East,1999,1164313.806,1069349.055,94964.75166,53.37530028,1153812.473,1060174.867,93637.60605,453828.5274,71.7705304,65.94599581,8.115496086,0
North East,2000,1165773.708,1068107.051,97666.65742,53.3144514,1153602.279,1057069.485,96532.79446,453889.7208,71.76410702,65.75892662,8.367944152,0
North East,2000,1158198.346,1061183.445,97014.90041,52.97235059,1145219.634,1049379.576,95840.05741,462088.3663,71.25078913,65.28802049,8.368705407,0
North East,2000,1166907.269,1062236.145,104671.1247,53.02579939,1155095.763,1051286.16,103809.6037,452046.2367,71.87266361,65.41339593,8.987099339,0
North East,2000,1170509.088,1069749.645,100759.4423,53.40385183,1157685.829,1057741.731,99944.09755,449239.171,72.04355082,65.82396387,8.633093284,0
North East,2000,1171387.423,1065883.906,105503.5174,53.2120359,1159633.583,1054475.653,105157.9293,447180.4173,72.16974601,65.62524682,9.068203165,0
North East,2000,1182971.672,1076341.903,106629.7691,53.73667822,1171678.897,1065397.895,106281.0018,434921.1029,72.92909854,66.31382394,9.070830077,0
North East,2000,1179274.756,1071871.183,107403.573,53.51638852,1167865.664,1060806.991,107058.6737,438529.3356,72.70102711,66.03649729,9.167036668,0
North East,2000,1180232.801,1070598.138,109634.6631,53.44268843,1170337.813,1061211.954,109125.8586,436184.1872,72.84916191,66.0564844,9.324304264,0
North East,2000,1177308.525,1071130.982,106177.5432,53.45986691,1167406.802,1061098.246,106308.5566,439310.1978,72.6578982,66.04139034,9.106384886,0
North East,2000,1176156.253,1075625.729,100530.5243,53.67833139,1165308.873,1065398.59,99910.28307,441443.1266,72.52574594,66.30759385,8.573716836,0
North East,2000,1165074.913,1077177.91,87897.00252,53.74439309,1155234.837,1067740.468,87494.36881,451721.163,71.88963711,66.44491001,7.573730121,0
North East,2000,1157263.393,1070733.424,86529.96932,53.41384605,1148546.795,1063007.153,85539.64175,458540.205,71.46761781,66.14496622,7.447640978,0
North East,2001,1159787.628,1072963.044,86824.58387,53.51666178,1150134.155,1063745.494,86388.66045,457137.8454,71.55815286,66.18329033,7.511181205,0
North East,2001,1162355.156,1072816.322,89538.83368,53.50195181,1152214.787,1063532.042,88682.7443,455089.2133,71.68617677,66.16869257,7.696719859,0
North East,2001,1155579.741,1064333.939,91245.80139,53.06757707,1147837.373,1057345.71,90491.66249,459660.6271,71.40521313,65.77586476,7.883665807,0
North East,2001,1158017.636,1067480.454,90537.18264,53.21432648,1150961.68,1061092.975,89868.70474,456689.32,71.59275738,66.00269432,7.808140471,0
North East,2001,1162053.472,1076270.916,85782.55661,53.64325526,1154798.204,1069340.399,85457.80449,453006.7965,71.82451874,66.5093341,7.400237048,0
North East,2001,1160108.484,1073060.278,87048.20621,53.47270395,1152049.66,1065309.251,86740.40827,455962.3403,71.64434467,66.25008093,7.529224764,0
North East,2001,1152167.027,1066757.258,85409.76927,53.15082512,1142761.463,1058135.466,84625.99757,465326.5367,71.06336614,65.80084335,7.405394764,0
North East,2001,1154404.075,1069606.861,84797.21379,53.28048793,1146715.475,1062878.612,83836.86291,461631.5252,71.29776564,66.08515525,7.311043127,0
North East,2001,1156071.522,1074085.745,81985.77681,53.48396009,1148541.745,1066861.026,81680.71946,460319.255,71.38850063,66.31157232,7.111689219,0
North East,2001,1159463.537,1077852.898,81610.63914,53.65169511,1150512.242,1069520.623,80991.61896,458889.7583,71.48693998,66.45453546,7.039613836,0
North East,2001,1157102.455,1076320.568,80781.88711,53.55745303,1148210.143,1067808.121,80402.02137,461657.8574,71.32324778,66.32892394,7.002378605,0
North East,2001,1164026.614,1084246.335,79780.27886,53.93079797,1155110.78,1075923.747,79187.03311,455342.2203,71.72582992,66.80876416,6.855362664,0
North East,2002,1161214.555,1079206.878,82007.67724,53.65990211,1154211.5,1072696.24,81515.25984,456781.5004,71.64596616,66.58602736,7.062419657,0
North East,2002,1162332.591,1075825.938,86506.65258,53.47172316,1155665.224,1069663.622,86001.60252,455828.7756,71.71390178,66.37713959,7.441740108,0
North East,2002,1167268.047,1080100.745,87167.30211,53.66893553,1160094.104,1073677.68,86416.42369,451820.8958,71.96993044,66.60882742,7.449087396,0
North East,2002,1170786.102,1088380.217,82405.88545,54.06024005,1161872.418,1080523.927,81348.49096,450600.5823,72.05530993,67.0103578,7.001499453,0
North East,2002,1160159.318,1080849.566,79309.75154,53.66252085,1152118.782,1073929.574,78189.2087,460897.2177,71.42637037,66.57897836,6.786557941,0
North East,2002,1157603.998,1082922.548,74681.45007,53.74668206,1149930.466,1076021.892,73908.57319,463700.5344,71.26353333,66.6832685,6.427221072,0
North East,2002,1151399.871,1076181.645,75218.22568,53.39418277,1143312.292,1068346.938,74965.35397,470690.7075,70.83706117,66.19237625,6.556857165,0
North East,2002,1157145.224,1084622.662,72522.56192,53.80043373,1149765.946,1077711.277,72054.66871,464530.0543,71.22398529,66.76045019,6.26689884,0
North East,2002,1156904.245,1084573.318,72330.92738,53.78200632,1149361.825,1077514.178,71847.64649,465181.1751,71.18805909,66.73802918,6.251090382,0
North East,2002,1153533.467,1084369.138,69164.32932,53.75985844,1145235.163,1076820.749,68414.41475,469529.8365,70.92271405,66.68591087,5.973831134,0
North East,2002,1155785.011,1078473.405,77311.60658,53.45301643,1146872.881,1069988.623,76884.25812,468181.119,71.01142631,66.2509503,6.703816909,0
North East,2002,1153335.171,1071244.985,82090.18547,53.07638801,1143713.281,1062220.997,81492.28445,471684.719,70.80071171,65.75599304,7.125237226,0
North East,2003,1138692.786,1065954.555,72738.23151,52.80602445,1129515.139,1057312.763,72202.37626,485971.861,69.91793428,65.44854665,6.392333645,0
North East,2003,1147887.267,1071077.746,76809.5212,53.04652382,1139025.67,1062714.367,76311.3028,476677.33,70.49721824,65.77411611,6.699699999,0
North East,2003,1147393.053,1069727.099,77665.95431,52.96415485,1139000.844,1061699.117,77301.72629,476986.1562,70.48329249,65.69973134,6.786801495,0
North East,2003,1151368.711,1072098.176,79270.53498,53.06715279,1142469.534,1063074.654,79394.87971,473810.4664,70.68512471,65.77292634,6.949408923,0
North East,2003,1155778.335,1080298.523,75479.81211,53.46001123,1146680.166,1071116.605,75563.56127,469819.834,70.93598305,66.26146642,6.58976788,0
North East,2003,1152080.507,1083104.099,68976.40773,53.58150776,1142336.794,1073203.356,69133.43809,474532.2057,70.65116557,66.37540557,6.051931307,0
North East,2003,1159752.859,1086440.487,73312.3713,53.73395991,1147872.9,1074408.244,73464.65533,469191.1003,70.98500119,66.44191228,6.400068801,0
North East,2003,1160215.434,1088493.545,71721.88865,53.82288361,1147921.028,1076258.852,71662.17589,469472.9723,70.97349364,66.54277509,6.242779264,0
North East,2003,1166757.43,1090033.905,76723.52511,53.88527463,1153272.89,1076704.13,76568.76013,464433.1102,71.29063561,66.55746654,6.639257786,0
North East,2003,1172124.25,1094634.83,77489.42046,54.09841139,1159859.452,1082605.872,77253.58029,458202.5477,71.68201542,66.90756424,6.660598414,0
North East,2003,1178734.96,1105474.56,73260.40052,54.61679714,1166013.984,1092697.731,73316.2525,452466.0163,72.04376845,67.51382354,6.28776786,0
North East,2003,1181701.508,1108883.673,72817.83485,54.77253545,1168397.801,1095685.439,72712.36282,450349.1986,72.17914853,67.68725679,6.223253992,0
North East,2004,1177924.516,1105721.828,72202.68802,54.60373581,1166099.205,1093978.329,72120.87548,452973.7955,72.02264534,67.5681905,6.184797589,0
North East,2004,1179994.789,1110628.318,69366.47161,54.82975945,1166446.586,1097097.588,69348.99811,453024.4138,72.02639542,67.74419474,5.945321366,0
North East,2004,1181567.652,1115831.707,65735.94492,55.07505882,1166485.504,1100651.582,65833.92204,453296.4956,72.01496895,67.95059967,5.643783981,0
North East,2004,1180012.615,1115166.725,64845.89044,55.02765158,1164569.7,1099627.133,64942.56728,455497.2995,71.88404556,67.8754109,5.576529018,0
North East,2004,1169809.595,1105862.042,63947.55229,54.55666892,1153092.187,1089498.834,63593.35285,467235.813,71.16412152,67.23940055,5.515027642,0
North East,2004,1178537.809,1114708.878,63828.93083,54.97673743,1160641.19,1097053.106,63588.08392,460113.8103,71.61114355,67.68778167,5.478703021,0
North East,2004,1183240.282,1120252.381,62987.90085,55.23610984,1166658.08,1103921.817,62736.26277,454402.92,71.96879574,68.09872159,5.37743353,0
North East,2004,1186385.682,1116988.393,69397.28906,55.05011943,1170351.412,1100975.937,69375.47497,451533.5877,72.15995045,67.88249089,5.927747362,0
North East,2004,1187523.241,1117531.394,69991.84699,55.05238054,1171664.887,1101851.152,69813.73513,450972.1132,72.20745532,67.90496899,5.958507071,0
North East,2004,1182277.085,1111217.129,71059.95655,54.71431654,1165950.54,1095100.66,70849.88,457506.4601,71.81899735,67.45486082,6.0765768,0
North East,2004,1188901.534,1112050.118,76851.4164,54.73026959,1175419.718,1098965.482,76454.23648,448853.282,72.3658965,67.65891457,6.504420107,0
North East,2004,1187856.66,1112635.141,75221.51935,54.73371363,1174604.769,1099909.508,74695.26073,450389.2312,72.28363728,67.68698888,6.359182485,0
North East,2005,1196818.014,1131368.334,65449.68073,55.62966607,1183117.877,1118232.279,64885.59862,442711.1229,72.77013002,68.77920609,5.48428858,0
North East,2005,1197665.666,1133591.785,64073.88078,55.71614565,1183806.423,1120615.97,63190.45218,442759.5774,72.77948897,68.89458961,5.337904151,0
North East,2005,1193497.087,1126352.912,67144.17493,55.32899937,1180685.337,1114347.33,66338.00706,446899.6632,72.54216135,68.4663062,5.618601756,0
North East,2005,1194214.956,1123707.065,70507.89083,55.17707497,1180148.001,1110398.009,69749.99267,448071.9988,72.48086875,68.19705006,5.910275033,0
North East,2005,1198000.897,1121275.208,76725.68958,55.03212812,1185699.08,1109891.822,75807.25748,443286.9203,72.78755494,68.13390798,6.393465153,0
North East,2005,1208779.513,1127129.149,81650.36431,55.29232894,1195546.865,1115194.719,80352.14588,434277.1347,73.35435393,68.42424209,6.720953248,0
North East,2005,1204145.818,1124635.857,79509.9616,55.1433459,1190059.618,1112172.052,77887.56555,440648.3824,72.97809403,68.20179039,6.544845686,0
North East,2005,1198851.405,1119672.421,79178.98415,54.88210967,1186791.245,1108631.875,78159.37029,444527.7545,72.75040905,67.95923269,6.5857724,0
North East,2005,1196104.134,1117356.607,78747.52714,54.74986547,1184313.597,1106616.289,77697.30863,447672.4027,72.56885766,67.80795232,6.560535048,0
North East,2005,1198078.097,1118755.153,79322.94421,54.79637653,1185332.261,1106533.001,78799.26025,447475.7388,72.59471176,67.76871506,6.647862614,0
North East,2005,1199491.156,1124740.052,74751.10458,55.0691511,1186961.34,1113056.801,73904.53843,446576.6603,72.66199744,68.13779669,6.226364411,0
North East,2005,1204373.409,1126509.16,77864.24876,55.13789795,1191717.982,1114424.925,77293.05691,442478.018,72.92380975,68.19407985,6.485851357,0
North East,2006,1197315.303,1117774.573,79540.72992,54.68960438,1183652.545,1104691.161,78961.38466,451259.4546,72.39854777,67.56884534,6.670993525,0
North East,2006,1225796.918,1141414.32,84382.59788,55.82604638,1209343.075,1125435.248,83907.82682,426277.925,73.93785449,68.80782579,6.938298036,0
North East,2006,1228819.04,1149424.927,79394.11303,56.19522146,1212458.825,1133467.072,78991.75332,423996.1749,74.09056925,69.26356495,6.51500502,0
North East,2006,1232964.563,1157648.859,75315.70428,56.57944658,1216150.49,1140915.588,75234.90177,420860.5098,74.29091742,69.69504716,6.186315129,0
North East,2006,1231684.222,1160333.145,71351.0773,56.68800381,1215852.366,1144595.859,71256.50746,422021.6336,74.23357147,69.88302268,5.860621686,0
North East,2006,1232203.351,1157700.453,74502.89785,56.54159436,1217002.369,1143001.172,74001.19718,421498.6309,74.27535102,69.7589548,6.080612417,0
North East,2006,1229487.487,1149895.596,79591.89115,56.13984463,1214379.275,1135175.014,79204.26071,424836.725,74.08293202,69.25109408,6.522201288,0
North East,2006,1234835.208,1153188.138,81647.07006,56.26889008,1218943.246,1137839.51,81103.73611,421281.7542,74.31561193,69.37094055,6.653610526,0
North East,2006,1226097.356,1143837.936,82259.42084,55.78219699,1209489.704,1127873.469,81616.23446,431653.2962,73.69800827,68.72487464,6.74798919,0
North East,2006,1226788.085,1144011.59,82776.495,55.76151424,1210704.544,1128487.344,82217.20014,431397.4556,73.72894889,68.72212227,6.79085583,0
North East,2006,1228660.331,1145812.504,82847.82654,55.81670149,1212495.044,1130247.024,82248.02025,430588.9559,73.79385619,68.78814618,6.783369602,0
North East,2006,1230015.898,1148401.711,81614.18666,55.91213527,1213913.484,1132905.196,81008.28824,430173.5157,73.83511239,68.90786169,6.67331645,0
North East,2007,1235697.218,1159856.082,75841.13613,56.44002609,1221917.307,1146717.332,75199.97509,423078.6926,74.280868,69.70942983,6.154260573,0
North East,2007,1234886.338,1153746.136,81140.20218,56.11111744,1220430.091,1139808.92,80621.17067,425564.9088,74.14543125,69.24741087,6.605963853,0
North East,2007,1231930.913,1149519.168,82411.74545,55.87831358,1219342.591,1137396.411,81946.18009,427545.409,74.03919338,69.06337352,6.720521426,0
North East,2007,1229127.157,1147737.803,81389.3548,55.75998116,1218501.699,1137002.172,81499.52741,429367.301,73.94408773,68.99833491,6.688503387,0
North East,2007,1239950.43,1162552.465,77397.96488,56.44894454,1228116.194,1151720.848,76395.34642,420717.8055,74.48391982,69.85062463,6.220530823,0
North East,2007,1240812.426,1162546.772,78265.65376,56.41888999,1227642.561,1150982.158,76660.40282,422089.4388,74.41466621,69.76782643,6.24452143,0
North East,2007,1234623.502,1155330.248,79293.25388,56.037313,1221076.63,1143148.1,77928.53054,429692.3699,73.97016967,69.24942857,6.381952501,0
North East,2007,1235705.248,1163468.003,72237.24476,56.40745207,1221051.212,1150134.547,70916.66531,430280.7876,73.94341128,69.64889841,5.807837098,0
North East,2007,1243885.46,1166854.576,77030.88372,56.54729563,1227037.081,1150913.696,76123.38529,424925.9186,74.27751599,69.66945968,6.203837393,0
North East,2007,1236922.148,1166024.797,70897.35102,56.48425435,1221751.802,1151694.03,70057.77228,430739.1979,73.93394591,69.69442071,5.734206584,0
North East,2007,1233261.068,1160032.506,73228.56177,56.16962492,1216664.616,1143944.744,72719.87214,436482.3839,73.59688014,69.19800502,5.976985866,0
North East,2007,1239437.241,1170187.216,69250.02462,56.63420236,1222613.938,1153826.408,68787.53009,431200.0619,73.92693121,69.76760434,5.626267454,0
North East,2008,1238704.915,1168825.482,69879.43354,56.5445439,1219432.791,1150128.136,69304.65536,434939.2091,73.70970924,69.52052716,5.683351791,0
North East,2008,1235401.421,1162422.215,72979.20634,56.21268993,1216833.983,1144286.57,72547.41326,438082.0171,73.52844391,69.14469191,5.961981197,0
North East,2008,1232338.686,1153401.566,78937.12025,55.75104375,1210862.869,1132832.784,78030.08456,444754.1314,73.1366535,68.42360184,6.444171886,0
North East,2008,1250398.488,1160910.903,89487.58517,56.09183838,1227476.065,1138183.273,89292.79239,428677.9346,74.11605837,68.72448293,7.274503749,0
North East,2008,1241769.213,1152230.935,89538.278,55.64943128,1219662.687,1131330.558,88332.129,437096.313,73.61738714,68.28576504,7.242340849,0
North East,2008,1252479.11,1158707.897,93771.21292,55.94020357,1228592.962,1135606.234,92986.72736,428639.0385,74.13524247,68.52427627,7.568554458,0
